subj	block	trial	run_index	voc_chan	gap_len	attn	hit	miss	fals	crej	frsp	slot	attn_lett	mask_lett	targ	foil	press	onset	press_time	reax_time
13	0	7	16	10	short	maint.	True	False	False	False	False	2	O	V	True	False	True	1.2	1.99608421398	0.796084213976
13	0	7	16	10	short	maint.	False	False	False	True	False	3	E	P	False	False	False	1.7		
13	0	8	39	20	long	maint.	False	False	False	True	False	0	V	O	False	True	False	0.0		
13	0	8	39	20	long	maint.	False	False	False	True	False	1	D	G	False	False	False	0.5		
13	0	8	39	20	long	maint.	False	False	True	False	True	2	G	O	False	True	True	1.6	1.89958220693	0.29958220693
13	0	8	39	20	long	maint.	False	False	False	True	False	3	E	D	False	False	False	2.1		
13	0	9	16	20	short	maint.	True	False	False	False	False	0	O	E	True	False	True	0.0	0.898967805358	0.898967805358
13	0	9	16	20	short	maint.	False	False	False	True	False	1	P	D	False	False	False	0.5		
13	0	9	16	20	short	maint.	True	False	False	False	False	2	O	V	True	False	True	1.2	2.18552469894	0.985524698943
13	0	9	16	20	short	maint.	False	False	False	True	False	3	E	P	False	False	False	1.7		
13	0	10	67	20	long	maint.	False	False	False	True	False	0	G	V	False	False	False	0.0		
13	0	10	67	20	long	maint.	False	False	False	True	False	1	P	O	False	True	False	0.5		
13	0	10	67	20	long	maint.	True	False	False	False	False	2	O	G	True	False	True	1.6	2.08947325305	0.489473253052
13	0	10	67	20	long	maint.	False	False	False	True	False	3	E	D	False	False	False	2.1		
13	0	11	151	20	long	switch	False	False	False	True	False	0	E	V	False	False	False	0.0		
13	0	11	151	20	long	switch	False	False	False	True	False	1	D	O	False	True	False	0.5		
13	0	11	151	20	long	switch	True	False	False	False	False	2	O	D	True	False	True	1.6	1.97474399934	0.374743999345
13	0	11	151	20	long	switch	False	False	False	True	False	3	P	G	False	False	False	2.1		
13	0	12	46	10	short	maint.	False	False	False	True	False	0	P	D	False	False	False	0.0		
13	0	12	46	10	short	maint.	True	False	False	False	False	1	O	E	True	False	True	0.5	1.1995330548	0.699533054805
13	0	12	46	10	short	maint.	False	True	False	False	False	2	O	V	True	False	False	1.2		
13	0	12	46	10	short	maint.	False	False	False	True	False	3	D	G	False	False	False	1.7		
13	0	13	151	10	long	switch	False	False	False	True	False	0	E	V	False	False	False	0.0		
13	0	13	151	10	long	switch	False	False	False	True	False	1	D	O	False	True	False	0.5		
13	0	13	151	10	long	switch	True	False	False	False	False	2	O	D	True	False	True	1.6	1.98961251741	0.389612517408
13	0	13	151	10	long	switch	False	False	False	True	False	3	P	G	False	False	False	2.1		
13	0	14	93	10	short	switch	True	False	False	False	False	0	O	E	True	False	True	0.0	0.967862701729	0.967862701729
13	0	14	93	10	short	switch	False	False	False	True	False	1	P	D	False	False	False	0.5		
13	0	14	93	10	short	switch	True	False	False	False	False	2	O	G	True	False	True	1.2	1.81889080036	0.61889080036
13	0	14	93	10	short	switch	False	False	False	True	False	3	G	V	False	False	False	1.7		
13	0	15	39	10	long	maint.	False	False	False	True	False	0	V	O	False	True	False	0.0		
13	0	15	39	10	long	maint.	False	False	False	True	False	1	D	G	False	False	False	0.5		
13	0	15	39	10	long	maint.	False	False	True	False	True	2	G	O	False	True	True	1.6	1.89134922585	0.291349225854
13	0	15	39	10	long	maint.	False	False	False	True	False	3	E	D	False	False	False	2.1		
13	0	16	68	20	long	maint.	False	False	False	True	False	0	E	V	False	False	False	0.0		
