subj	block	trial	run_index	voc_chan	gap_len	attn	hits	misses	false_alarms	corr_rej	press_times	targ_letters	mask_letters
01	2	17	0	20	short	maint	2	0	0	2	[0.5580978127304006, 2.100081920209716]	['O' 'D' 'G' 'O']	['E' 'V' 'D' 'P']
01	2	18	23	10	long	maint	1	0	0	3	[1.0016138281314002]	['G' 'O' 'E' 'V']	['E' 'P' 'V' 'O']
01	2	19	114	10	long	switch	1	0	0	3	[1.7017449004669452]	['D' 'V' 'O' 'G']	['O' 'P' 'G' 'D']
01	2	20	99	10	short	switch	0	0	1	3	[2.133710166298026]	['G' 'P' 'D' 'E']	['O' 'D' 'E' 'O']
01	2	21	0	10	short	maint	2	0	0	2	[0.535897435897436, 2.265888424674367]	['O' 'D' 'G' 'O']	['E' 'V' 'D' 'P']
01	2	22	127	10	short	switch	1	0	0	3	[2.143008110100762]	['P' 'G' 'O' 'D']	['V' 'O' 'P' 'G']
01	2	23	122	20	short	switch	2	0	0	2	[1.0249201277955273, 2.580093389039076]	['E' 'O' 'P' 'O']	['P' 'V' 'D' 'E']
01	2	24	32	20	long	maint	1	0	0	3	[1.681879249610879]	['P' 'E' 'O' 'V']	['O' 'V' 'E' 'P']
01	2	25	29	10	long	maint	1	1	1	2	[0.5671090357991317, 2.2674039485541084]	['O' 'V' 'O' 'P']	['V' 'P' 'G' 'D']
01	2	26	95	10	short	switch	2	0	0	2	[0.8225362496927993, 1.8077906119439668]	['O' 'G' 'O' 'V']	['V' 'E' 'D' 'P']
01	2	27	77	10	long	maint	2	0	0	2	[0.515622183992791, 2.4980093389039078]	['O' 'D' 'P' 'O']	['E' 'V' 'G' 'D']
01	2	28	129	10	short	switch	2	0	0	2	[0.740697960186778, 2.017547308921111]	['O' 'E' 'O' 'P']	['G' 'P' 'E' 'V']
01	2	29	148	10	long	switch	1	0	0	3	[2.110321946424183]	['D' 'E' 'O' 'V']	['V' 'O' 'E' 'P']
01	2	30	32	10	long	maint	0	1	0	4	[]	['P' 'E' 'O' 'V']	['O' 'V' 'E' 'P']
01	2	31	105	10	long	switch	2	0	0	2	[0.9224379454411404, 2.17282706643729]	['G' 'O' 'V' 'O']	['V' 'D' 'G' 'E']
01	3	0	112	20	long	switch	1	0	0	3	[1.637355615630376]	['P' 'E' 'O' 'D']	['O' 'G' 'E' 'P']
01	3	1	27	20	long	maint	2	0	0	2	[0.7103055623822399, 1.7981649873023677]	['O' 'D' 'O' 'P']	['P' 'G' 'D' 'V']
01	3	2	145	20	long	switch	1	0	0	3	[1.0606782993364465]	['P' 'O' 'G' 'D']	['G' 'V' 'O' 'P']
01	3	3	63	20	long	maint	2	0	0	2	[0.9885065945768821, 2.082960596379127]	['D' 'O' 'O' 'P']	['V' 'P' 'E' 'D']
01	3	4	11	20	short	maint	1	0	0	3	[1.6505857294994675]	['V' 'E' 'O' 'P']	['O' 'G' 'P' 'V']
01	3	5	24	10	long	maint	1	1	0	3	[0.908306709265176]	['G' 'O' 'V' 'O']	['E' 'D' 'P' 'G']
01	3	6	27	10	long	maint	1	1	0	3	[1.777152453510281]	['O' 'D' 'O' 'P']	['P' 'G' 'D' 'V']
